Image_path,Condition
img_4513976.jpg,0
img_7764995.jpg,1
img_451308.jpg,0
img_7768372.jpg,1
img_7765274.jpg,1
img_4537770.jpg,1
img_7765649.jpg,1
img_4518199.jpg,1
img_7767281.jpg,1
img_4638641.jpg,1
img_4516058.jpg,1
img_4518648.jpg,1
img_7766913.jpg,1
img_7767681.jpg,1
img_4536138.jpg,1
img_4518874.jpg,1
img_4635293.jpg,1
img_7765970.jpg,0
img_7762199.jpg,0
img_4535519.jpg,1
img_7767990.jpg,1
img_4636799.jpg,1
img_4632686.jpg,0
img_7768147.jpg,1
img_4535509.jpg,1
img_4535313.jpg,1
img_7767301.jpg,1
img_4634520.jpg,1
img_4637794.jpg,1
img_4511760.jpg,0
img_4638583.jpg,1
img_7766747.jpg,1
img_7767634.jpg,1
img_4634006.jpg,0
img_4635315.jpg,1
img_4518647.jpg,1
img_4514720.jpg,1
img_4518390.jpg,1
img_4516826.jpg,1
img_4634526.jpg,1
img_7766892.jpg,1
img_4538196.jpg,1
img_4517202.jpg,1
img_4636586.jpg,1
img_4515867.jpg,0
img_4637766.jpg,1
img_7767424.jpg,1
img_7768927.jpg,1
img_4535185.jpg,1
img_4515236.jpg,1
img_4636599.jpg,1
img_4516363.jpg,1
img_4534505.jpg,1
img_7765429.jpg,1
img_4537743.jpg,1
img_4535263.jpg,0
img_4538633.jpg,1
img_4538102.jpg,1
img_7765969.jpg,1
img_4517623.jpg,1
img_4635057.jpg,1
img_4537170.jpg,1
img_4534867.jpg,1
img_4516954.jpg,1
img_7766040.jpg,1
img_4536981.jpg,1
img_4638321.jpg,1
img_7765387.jpg,1
img_4638960.jpg,1
img_7766299.jpg,1
img_4636575.jpg,1
img_4535665.jpg,1
img_4537837.jpg,1
img_4516490.jpg,1
img_4634855.jpg,1
img_4536721.jpg,1
img_7768835.jpg,1
img_4515084.jpg,1
img_4634973.jpg,1
img_4536037.jpg,1
img_4633906.jpg,0
img_7768013.jpg,1
img_4638520.jpg,1
img_4538608.jpg,1
img_4637304.jpg,1
img_4637399.jpg,1
img_7768905.jpg,1
img_4638411.jpg,1
img_7768598.jpg,1
img_4538221.jpg,1
img_4636072.jpg,1
img_4637933.jpg,1
img_4518990.jpg,1
img_4636391.jpg,1
img_7767238.jpg,1
img_7767420.jpg,1
img_4536217.jpg,1
img_4537902.jpg,1
img_4518269.jpg,1
img_4638035.jpg,1
img_7765953.jpg,1
img_7768302.jpg,1
img_7767352.jpg,1
img_4517580.jpg,1
img_7766738.jpg,1
img_7766818.jpg,1
img_4515414.jpg,1
img_4537127.jpg,1
img_4537913.jpg,1
img_4518863.jpg,1
img_4538616.jpg,1
img_4532780.jpg,0
img_4635779.jpg,1
img_4514779.jpg,1
img_4538944.jpg,1
img_4635324.jpg,1
img_4518002.jpg,1
img_4517173.jpg,1
img_4635761.jpg,1
img_4638780.jpg,1
img_4517267.jpg,1
img_4635549.jpg,1
img_7768100.jpg,1
img_4538536.jpg,1
img_7766017.jpg,1
img_4515645.jpg,1
img_4517535.jpg,1
img_4535773.jpg,1
img_4535100.jpg,1
img_4516674.jpg,1
img_4534841.jpg,1
img_7766166.jpg,1
img_7768888.jpg,1
img_7764514.jpg,1
img_4515485.jpg,1
img_4637275.jpg,1
img_4635356.jpg,1
img_4538588.jpg,1
img_7763281.jpg,0
img_7765163.jpg,1
img_7768710.jpg,1
img_4535832.jpg,1
img_4516807.jpg,1
img_4515160.jpg,1
img_4535879.jpg,1
img_7765094.jpg,1
img_7767269.jpg,1
img_7765876.jpg,1
img_4518784.jpg,1
img_4518146.jpg,0
img_4518271.jpg,1
img_4635213.jpg,1
img_7765048.jpg,1
img_4636071.jpg,1
img_4637714.jpg,1
img_4636143.jpg,1
img_7768866.jpg,1
img_7768709.jpg,1
img_4515218.jpg,1
img_7766332.jpg,1
img_4516112.jpg,1
img_4517279.jpg,1
img_4516723.jpg,1
img_4537213.jpg,1
img_4537447.jpg,1
img_4635386.jpg,1
img_4535764.jpg,1
img_4536824.jpg,1
img_4635683.jpg,1
img_4536152.jpg,1
img_4535112.jpg,1
img_4538635.jpg,1
img_7768048.jpg,1
img_4634206.jpg,0
img_7761263.jpg,0
img_4514998.jpg,1
img_4637297.jpg,1
img_7768558.jpg,1
img_4535845.jpg,1
img_4635703.jpg,1
img_4535946.jpg,1
img_4636936.jpg,1
img_4535119.jpg,1
img_4536187.jpg,1
img_4637053.jpg,1
img_4535013.jpg,1
img_4516999.jpg,1
img_4517155.jpg,1
img_7765500.jpg,1
img_4636005.jpg,1
img_4637941.jpg,1
img_4538260.jpg,1
img_4516685.jpg,1
img_4635792.jpg,1
img_4516526.jpg,1
img_7765120.jpg,1
img_4514598.jpg,1
img_4638336.jpg,1
img_4536131.jpg,1
img_4537240.jpg,1
img_4516728.jpg,1
img_4537620.jpg,1
img_4637449.jpg,1
img_4535962.jpg,1
img_4517486.jpg,1
img_4531694.jpg,0
img_4516867.jpg,1
img_7767450.jpg,1
img_4638603.jpg,1
img_4518363.jpg,1
img_7764768.jpg,1
img_7767311.jpg,1
img_4518251.jpg,1
img_4532799.jpg,0
img_4538992.jpg,1
img_7767408.jpg,1
img_4635987.jpg,1
img_7761878.jpg,0
img_7762221.jpg,0
img_4535296.jpg,1
img_4635531.jpg,1
img_451490.jpg,0
img_453360.jpg,0
img_4538360.jpg,1
img_4536328.jpg,1
img_4633454.jpg,0
img_4517951.jpg,1
img_4537660.jpg,1
img_4531551.jpg,0
img_4636257.jpg,1
img_4517432.jpg,1
img_4636699.jpg,1
img_4518329.jpg,1
img_4638141.jpg,0
img_4536993.jpg,1
img_7766098.jpg,1
img_7764668.jpg,1
img_4636445.jpg,1
img_4635194.jpg,1
img_4516846.jpg,1
img_7766661.jpg,1
img_4638757.jpg,1
img_4517804.jpg,1
img_4636527.jpg,1
img_7763604.jpg,0
img_7768446.jpg,1
img_4538897.jpg,1
img_4536123.jpg,1
img_4515380.jpg,1
img_4515896.jpg,1
img_4637389.jpg,1
img_7765610.jpg,1
img_4514974.jpg,1
img_7768103.jpg,1
img_4638496.jpg,1
img_7767583.jpg,1
img_4636889.jpg,1
img_4638337.jpg,1
img_4535245.jpg,1
img_4536177.jpg,0
img_4538708.jpg,1
img_453178.jpg,0
img_7764614.jpg,1
img_4535337.jpg,1
img_4516880.jpg,1
img_4634342.jpg,0
img_4517434.jpg,1
img_4514658.jpg,1
img_4537477.jpg,1
img_4636380.jpg,1
img_7768734.jpg,1
img_4537578.jpg,1
img_4535256.jpg,1
img_4534880.jpg,1
img_4517985.jpg,1
img_4538798.jpg,1
img_4516647.jpg,1
img_4636259.jpg,1
img_7767860.jpg,1
img_7768786.jpg,1
img_4537631.jpg,1
img_4636945.jpg,1
img_7766214.jpg,1
img_7768831.jpg,1
img_4635047.jpg,1
img_7766243.jpg,1
img_4516303.jpg,1
img_463730.jpg,0
img_7767831.jpg,1
img_4536788.jpg,1
img_4537019.jpg,1
img_4638566.jpg,1
img_4514751.jpg,1
img_4534666.jpg,1
img_4538362.jpg,1
img_4517509.jpg,1
img_4635131.jpg,1
img_4634831.jpg,1
img_4535788.jpg,1
img_4638552.jpg,1
img_4516828.jpg,1
img_4518276.jpg,1
img_4636473.jpg,1
img_4534567.jpg,1
img_4536678.jpg,1
img_4634870.jpg,1
img_7766239.jpg,1
img_7764639.jpg,1
img_7763565.jpg,0
img_7764962.jpg,1
img_4637280.jpg,1
img_7765211.jpg,1
img_7766932.jpg,1
img_4638128.jpg,1
img_4636774.jpg,1
img_7768963.jpg,1
img_4515215.jpg,1
img_4515407.jpg,1
img_4636402.jpg,1
img_4632335.jpg,0
img_4638717.jpg,1
img_4517483.jpg,1
img_4538470.jpg,1
img_4634777.jpg,1
img_4534584.jpg,1
img_7764027.jpg,0
img_4638879.jpg,1
img_4516762.jpg,1
img_4638987.jpg,1
img_7764765.jpg,0
img_4636427.jpg,1
img_4537725.jpg,1
img_4513328.jpg,0
img_4514772.jpg,1
img_7765600.jpg,1
img_4636577.jpg,1
img_7764700.jpg,1
img_7764586.jpg,1
img_463653.jpg,0
img_4638190.jpg,1
img_7765078.jpg,1
img_4536568.jpg,1
img_4537767.jpg,1
img_4538309.jpg,1
img_4515247.jpg,1
img_7768493.jpg,1
img_4637756.jpg,1
img_4535436.jpg,1
img_7766612.jpg,1
img_4635910.jpg,1
img_4517626.jpg,1
img_4638215.jpg,1
img_7761480.jpg,0
img_4538554.jpg,1
img_7765041.jpg,1
img_4537266.jpg,1
img_4637292.jpg,1
img_7764788.jpg,1
img_4636523.jpg,1
img_4517841.jpg,0
img_4638296.jpg,1
img_7768042.jpg,1
img_7765775.jpg,1
img_4638563.jpg,1
img_4535916.jpg,1
img_7763076.jpg,0
img_4538615.jpg,1
